County,Water Body,Site Name,Town,Range,Section,Species,Strain,Date,Number,Avg. Length
Alcona,Alcona Dam Pond COUNTY PARK (25N 05E 11),COUNTY PARK                   ,25N,05E,11,Walleye,Muskegon,2013,29306,2.1
Alcona,Alcona Dam Pond COUNTY PARK (25N 05E 11),COUNTY PARK                   ,25N,05E,11,Walleye,Muskegon,2015,27537,1.5
Alcona,Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19),FR4842-Alcona Rest,26N,05E,19,Brown trout,Sturgeon River,2016,6000,4.58
Alcona,Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19),FR4842-Alcona Rest,26N,05E,19,Brown trout,Sturgeon River,2017,6000,4.87
Alcona,Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19),FR4842-Alcona Rest,26N,05E,19,Brown trout,Sturgeon River,2018,6000,5.24
Alcona,Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19),FR4842-Alcona Rest,26N,05E,19,Brown trout,Sturgeon River,2020,6600,4.09
Alcona,Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19),FR4842-Alcona Rest,26N,05E,19,Brown trout,Sturgeon River,2021,5998,4.44
Alcona,Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19),FR4842-Alcona Rest,26N,05E,19,Brown trout,Sturgeon River,2022,6000,4.91
Alcona,Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19),FR4842-Alcona Rest,26N,05E,19,Rainbow trout,Eagle Lake,2016,3000,6.57
Alcona,Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19),FR4842-Alcona Rest,26N,05E,19,Rainbow trout,Eagle Lake,2017,4200,6.97
Alcona,Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19),FR4842-Alcona Rest,26N,05E,19,Rainbow trout,Eagle Lake,2018,3200,6.89
Alcona,Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19),FR4842-Alcona Rest,26N,05E,19,Rainbow trout,Eagle Lake,2020,3100,7.56
Alcona,Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19),FR4842-Alcona Rest,26N,05E,19,Rainbow trout,Eagle Lake,2021,3000,8.17
Alcona,Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19),FR4842-Alcona Rest,26N,05E,19,Rainbow trout,Eagle Lake,2022,3000,7.56
Alcona,Au Sable River 4001 BRIDGE (26N 05E 28),4001 BRIDGE                   ,26N,05E,28,Brown trout,Sturgeon River,2012,5998,4.6
Alcona,Au Sable River 4001 BRIDGE (26N 05E 28),4001 BRIDGE                   ,26N,05E,28,Brown trout,Sturgeon River,2013,5998,4.53
Alcona,Au Sable River 4001 BRIDGE (26N 05E 28),4001 BRIDGE                   ,26N,05E,28,Brown trout,Sturgeon River,2014,6000,5.04
Alcona,Au Sable River 4001 BRIDGE (26N 05E 28),4001 BRIDGE                   ,26N,05E,28,Brown trout,Sturgeon River,2015,12001,4.45
Alcona,Au Sable River 4001 BRIDGE (26N 05E 28),4001 BRIDGE                   ,26N,05E,28,Brown trout,Sturgeon River,2016,6000,4.58
Alcona,Au Sable River 4001 BRIDGE (26N 05E 28),4001 BRIDGE                   ,26N,05E,28,Brown trout,Sturgeon River,2017,6000,4.89
Alcona,Au Sable River 4001 BRIDGE (26N 05E 28),4001 BRIDGE                   ,26N,05E,28,Brown trout,Sturgeon River,2018,6000,5.24
Alcona,Au Sable River 4001 BRIDGE (26N 05E 28),4001 BRIDGE                   ,26N,05E,28,Brown trout,Sturgeon River,2019,6000,4.98
Alcona,Au Sable River 4001 BRIDGE (26N 05E 28),4001 BRIDGE                   ,26N,05E,28,Brown trout,Sturgeon River,2020,6000,4.63
